Age last bd last pol anniversary,Male_NS,Male_S,Male_Unk,Female_NS,Female_S,Female_Unk
89,0.1013,0.10495,0.10173,0.079704,0.081776,0.079903
90,0.11117,0.11117,0.11117,0.09126,0.09126,0.09126
91,0.12094,0.12094,0.12094,0.10275,0.10275,0.10275
92,0.13096,0.13096,0.13096,0.1143,0.1143,0.1143
93,0.14121,0.14121,0.14121,0.12563,0.12563,0.12563
94,0.15167,0.15167,0.15167,0.13702,0.13702,0.13702
95,0.16232,0.16232,0.16232,0.14903,0.14903,0.14903
96,0.17314,0.17314,0.17314,0.1623,0.1623,0.1623
97,0.1841,0.1841,0.1841,0.17698,0.17698,0.17698
98,0.19517,0.19517,0.19517,0.1922,0.1922,0.1922
99,0.20632,0.20632,0.20632,0.20788,0.20788,0.20788
100,0.21752,0.21752,0.21752,0.22392,0.22392,0.22392
